SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
050,29,071,Missouri,Franklin County,3,10,8332,4194,4138,4087,4060,41,19,18,18,19,20,3,2,26,19,4113,4077,42,20,39,33,21,24,5,3,4141,4090,4040,4016,41,18,16,16,18,20,3,2,23,18,4063,4033,42,19,34,31,20,23,5,2,53,48,47,44,0,1,2,2,1,0,0,0,3,1,50,44,0,1,5,2,1,1,0,1
050,29,071,Missouri,Franklin County,3,11,8288,4146,4142,4065,4051,33,35,12,16,10,20,0,0,26,20,4091,4070,33,36,34,33,14,22,0,1,4114,4114,4033,4028,33,34,12,13,10,19,0,0,26,20,4059,4047,33,35,34,30,14,21,0,1,32,28,32,23,0,1,0,3,0,1,0,0,0,0,32,23,0,1,0,3,0,1,0,0
050,29,071,Missouri,Franklin County,3,12,6740,3366,3374,3300,3312,32,19,15,12,5,11,0,1,14,19,3314,3330,34,21,26,30,6,11,0,1,3342,3351,3278,3292,32,19,14,12,4,11,0,1,14,16,3292,3307,34,21,25,27,5,11,0,1,24,23,22,20,0,0,1,0,1,0,0,0,0,3,22,23,0,0,1,3,1,0,0,0
050,29,071,Missouri,Franklin County,3,13,5720,2780,2940,2725,2894,24,18,9,5,4,9,1,0,17,14,2742,2908,26,20,24,17,5,9,1,0,2763,2923,2709,2878,24,18,9,5,4,9,1,0,16,13,2725,2891,26,20,23,16,5,9,1,0,17,17,16,16,0,0,0,0,0,0,0,0,1,1,17,17,0,0,1,1,0,0,0,0
050,29,071,Missouri,Franklin County,3,14,4428,2134,2294,2097,2248,19,21,2,6,2,6,1,1,13,12,2110,2260,19,24,15,15,2,6,1,1,2124,2276,2088,2232,19,21,2,6,2,6,0,0,13,11,2101,2243,19,23,15,15,2,6,0,0,10,18,9,16,0,0,0,0,0,0,1,1,0,1,9,17,0,1,0,0,0,0,1,1
050,29,071,Missouri,Franklin County,3,15,3414,1548,1866,1521,1823,15,16,1,4,1,11,0,0,10,12,1530,1834,17,19,8,13,3,12,1,0,1540,1861,1514,1818,15,16,1,4,1,11,0,0,9,12,1522,1829,16,19,7,13,3,12,1,0,8,5,7,5,0,0,0,0,0,0,0,0,1,0,8,5,1,0,1,0,0,0,0,0
050,29,071,Missouri,Franklin County,3,16,2645,1224,1421,1202,1405,9,7,1,0,4,2,0,0,8,7,1210,1412,11,7,7,7,5,2,0,0,1210,1419,1190,1403,9,7,1,0,4,2,0,0,6,7,1196,1410,10,7,6,7,5,2,0,0,14,2,12,2,0,0,0,0,0,0,0,0,2,0,14,2,1,0,1,0,0,0,0,0
050,29,071,Missouri,Franklin County,3,17,1887,733,1154,721,1141,8,3,1,1,1,6,1,0,1,3,722,1143,8,4,2,4,1,7,1,0,731,1149,719,1137,8,3,1,1,1,6,1,0,1,2,720,1139,8,3,2,3,1,7,1,0,2,5,2,4,0,0,0,0,0,0,0,0,0,1,2,4,0,1,0,1,0,0,0,0
050,29,071,Missouri,Franklin County,3,18,1706,539,1167,532,1159,4,6,1,0,0,1,0,0,2,1,534,1160,5,6,2,1,0,2,0,0,533,1162,526,1154,4,6,1,0,0,1,0,0,2,1,528,1155,5,6,2,1,0,2,0,0,6,5,6,5,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,0
050,29,071,Missouri,Franklin County,4,0,101648,50388,51260,48918,49865,538,379,167,170,180,249,17,27,568,570,49470,50410,742,605,439,435,279,345,38,47,49642,50539,48245,49222,530,371,147,140,177,247,12,21,531,538,48764,49736,719,584,397,389,271,340,31,38,746,721,673,643,8,8,20,30,3,2,5,6,37,32,706,674,23,21,42,46,8,5,7,9
