STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP,NHWA_MALE,NHWA_FEMALE
Missouri,St. Charles County,1,4,25276,11224,10564
Missouri,St. Charles County,1,5,21443,9460,9164
Missouri,St. Charles County,1,6,23579,10264,10405
Missouri,St. Charles County,1,7,23906,10223,10448
Missouri,St. Charles County,1,8,24764,10574,10995
Missouri,St. Charles County,1,9,25879,11451,11776
Missouri,St. Charles County,1,10,29446,13282,13840
Missouri,St. Charles County,1,11,27805,12842,13034
Missouri,St. Charles County,1,12,22490,10090,10900
Missouri,St. Charles County,1,13,18395,8277,9040
Missouri,St. Charles County,1,14,13366,6029,6588
Missouri,St. Charles County,1,15,9567,4172,4902
Missouri,St. Charles County,1,16,7339,3103,3982
Missouri,St. Charles County,1,17,5460,2065,3226
Missouri,St. Charles County,1,18,4646,1390,3132
Missouri,St. Charles County,2,0,360485,157536,163939
Missouri,St. Charles County,2,1,24297,10244,9792
Missouri,St. Charles County,2,2,26202,11170,10875
Missouri,St. Charles County,2,3,26625,11676,11276
Missouri,St. Charles County,2,4,25276,11224,10564
Missouri,St. Charles County,2,5,21443,9460,9164
Missouri,St. Charles County,2,6,23579,10264,10405
Missouri,St. Charles County,2,7,23906,10223,10448
Missouri,St. Charles County,2,8,24764,10574,10995
Missouri,St. Charles County,2,9,25879,11451,11776
Missouri,St. Charles County,2,10,29446,13282,13840
Missouri,St. Charles County,2,11,27805,12842,13034
Missouri,St. Charles County,2,12,22490,10090,10900
Missouri,St. Charles County,2,13,18395,8277,9040
Missouri,St. Charles County,2,14,13366,6029,6588
Missouri,St. Charles County,2,15,9567,4172,4902
Missouri,St. Charles County,2,16,7339,3103,3982
Missouri,St. Charles County,2,17,5460,2065,3226
Missouri,St. Charles County,2,18,4646,1390,3132
Missouri,St. Charles County,3,0,361671,157929,164405
Missouri,St. Charles County,3,1,24175,10182,9756
Missouri,St. Charles County,3,2,26168,11141,10836
Missouri,St. Charles County,3,3,26676,11670,11303
Missouri,St. Charles County,3,4,25374,11266,10587
Missouri,St. Charles County,3,5,21509,9468,9202
Missouri,St. Charles County,3,6,23657,10316,10418
Missouri,St. Charles County,3,7,24117,10317,10542
Missouri,St. Charles County,3,8,24573,10473,10882
Missouri,St. Charles County,3,9,25925,11450,11776
Missouri,St. Charles County,3,10,29299,13204,13761
Missouri,St. Charles County,3,11,28012,12904,13149
Missouri,St. Charles County,3,12,22704,10224,10960
Missouri,St. Charles County,3,13,18667,8376,9189
Missouri,St. Charles County,3,14,13507,6076,6656
Missouri,St. Charles County,3,15,9671,4221,4946
Missouri,St. Charles County,3,16,7376,3127,3999
